Roggliswil;791
Schötz;4964
Ufhusen;919
Wauwil;2660
Wikon;1503
Zell (Lu);2205
Willisau;9242
;
Doppleschwand;824
Entlebuch;3422
Flühli;1858
Hasle (Lu);1842
Romoos;661
Schüpfheim;4281
Werthenstein;2181
Escholzmatt-Marbach;4559
Wolhusen;4747
;
;
Altdorf (Ur);10459
Andermatt;1578
Attinghausen;1787
Bürglen (Ur);3901
Erstfeld;3961
Flüelen;2071
Göschenen;458
Gurtnellen;487
Hospental;180
Isenthal;459
Realp;149
Schattdorf;5501
Seedorf (Ur);2058
Seelisberg;736
Silenen;2037
Sisikon;395
Spiringen;881
Unterschächen;746
Wassen;431
;
;
Einsiedeln;16532
;
Gersau;2462
;
Feusisberg;5600
Freienbach;17028
Wollerau;7596
;
Küssnacht (Sz);14148
;
Altendorf;7426
Galgenen;5463
Innerthal;191
Lachen;9529
Reichenburg;4153
Schübelbach;9757
Tuggen;3469
Vorderthal;1035
Wangen (Sz);5583
;
Alpthal;632
Arth;12524
Illgau;822
Ingenbohl;9548
Lauerz;1149
Morschach;1378
Muotathal;3583
Oberiberg;916
Riemenstalden;85
Rothenthurm;2595
Sattel;2066
Schwyz;16446
Steinen;3774
Steinerberg;965
Unteriberg;2476
;
;
Alpnach;6511
Engelberg;4416
Giswil;3988
Kerns;6514
Lungern;2072
Sachseln;5299
Sarnen;10862
;
;
Beckenried;3712
Buochs;5483
Dallenwil;1871
Emmetten;1668
Ennetbürgen;5327
Ennetmoos;2338
Hergiswil (Nw);6296
Oberdorf (Nw);3099
Stans;8508
Stansstad;4922
Wolfenschiessen;2121
;
;
Glarus Nord;19810
Glarus Süd;9675
Glarus;12886
;
;
Baar;25004
Cham;18273
Hünenberg;8972
Menzingen;4700
Neuheim;2527
Oberägeri;6578
Risch;11674
Steinhausen;10399
Unterägeri;9495
Walchwil;3995
Zug;32122
;
;
Châtillon (Fr);528
Cugy (Fr);2030
Fétigny;1284
Gletterens;1161
Lully (Fr);1226
Ménières;445
Montagny (Fr);3037
Nuvilly;498
Prévondavaux;113
Saint-Aubin (Fr);2030
Sévaz;318
Surpierre;1220
Vallon;534
Les Montets;1572
Delley-Portalban;1319
Belmont-Broye;6148
Estavayer;10623
Cheyres-Châbles;2487
;
Auboranges;281
Billens-Hennens;903
Chapelle (Glâne);341
Le Châtelard;364
Châtonnaye;860
Ecublens (Fr);398
Grangettes;212
Massonnens;596
Mézières (Fr);1163
Montet (Glâne);554
Romont (Fr);6124
Rue;1618
Siviriez;2675
Ursy;3502
Vuisternens-Devant-Romont;2383
Villorsonnens;1546
Torny;1095
Villaz;2409
;
Haut-Intyamon;1774
Pont-En-Ogoz;2038
Botterens;759
Broc;2848
Bulle;27101
Châtel-Sur-Montsalvens;358
